name,caption
301.png,Покемон нормального типа
302.png,Темный тип и призрак покемон
303.png,Покемон из стального типа и фея
304.png,Покемон стальной и рок-типа
305.png,Покемон стальной и рок-типа
306.png,Покемон стальной и рок-типа
307.png,Боевой тип и психический тип покемонов
308.png,Боевой тип и психический тип покемонов
309.png,Покемон электрического типа
310.png,Покемон электрического типа
311.png,Покемон электрического типа
312.png,Покемон электрического типа
313.png,Покемон типа ошибок
314.png,Покемон типа ошибок
315.png,Покемон типа травы и яда
316.png,Покемон яда
317.png,Покемон яда
318.png,Покемон в водный и темный тип
319.png,Покемон в водный и темный тип
320.png,Покемон в воду
321.png,Покемон в воду
322.png,Покемон пожарного и наземного типа
323.png,Покемон пожарного и наземного типа
324.png,Покемон огня
325.png,Покемон психического типа
326.png,Покемон психического типа
327.png,Покемон нормального типа
328.png,Покемон наземного типа
329.png,Покемон наземного типа и типа дракона
330.png,Покемон наземного типа и типа дракона
331.png,Покемон трава
332.png,Покемон трава и темного типа
333.png,Покемон нормального типа и летания
334.png,Покемон дракона и полей летающего типа
335.png,Покемон нормального типа
336.png,Покемон яда
337.png,Покемон рок-тип и психический тип
338.png,Покемон рок-тип и психический тип
339.png,Покемон типа воды и наземного типа
340.png,Покемон типа воды и наземного типа
341.png,Покемон в воду
342.png,Покемон в водный и темный тип
343.png,Покемон наземного типа и психическими типами
344.png,Покемон наземного типа и психическими типами
345.png,Покемон рок-типа и трава
346.png,Покемон рок-типа и трава
347.png,Покемон рок-типа и типа
348.png,Покемон рок-типа и типа
349.png,Покемон в воду
350.png,Покемон в воду
351.png,Покемон нормального типа
352.png,Покемон нормального типа
353.png,Покемон призрака типа
354.png,Покемон призрака типа
355.png,Покемон призрака типа
356.png,Покемон призрака типа
357.png,Покемон типа трава и летающий
358.png,Покемон психического типа
359.png,Покемон темного типа
360.png,Покемон психического типа
361.png,Покемон типа льда
362.png,Покемон типа льда
363.png,Ледяной тип и покемон воды
364.png,Ледяной тип и покемон воды
365.png,Ледяной тип и покемон воды
366.png,Покемон в воду
367.png,Покемон в воду
368.png,Покемон в воду
369.png,Покемон типа воды и рок-типа
370.png,Покемон в воду
371.png,Покемон типа дракона
372.png,Покемон типа дракона
373.png,Покемон дракона и полей летающего типа
374.png,Покемон из стального и психического типа
375.png,Покемон из стального и психического типа
376.png,Покемон из стального и психического типа
377.png,Покемон рок-типа
378.png,Покемон типа льда
379.png,Покемон из стали типа
380.png,Покемон типа дракона и психический тип
381.png,Покемон типа дракона и психический тип
382.png,Покемон в воду
383.png,Покемон наземного типа
384.png,Покемон дракона и полей летающего типа
385.png,Покемон из стального и психического типа
386.png,Покемон психического типа
387.png,Покемон трава
388.png,Покемон трава
389.png,Покемон типа трава и земли
390.png,Покемон огня
391.png,Покемон пожарного и боевого типа
392.png,Покемон пожарного и боевого типа
393.png,Покемон в воду
394.png,Покемон в воду
395.png,Покемон типа воды и стали
396.png,Покемон нормального типа и летания
397.png,Покемон нормального типа и летания
398.png,Покемон нормального типа и летания
399.png,Покемон нормального типа
400.png,Нормальный тип и покемон типа воды
401.png,Покемон типа ошибок
402.png,Покемон типа ошибок
403.png,Покемон электрического типа
404.png,Покемон электрического типа
405.png,Покемон электрического типа
406.png,Покемон типа травы и яда
407.png,Покемон типа травы и яда
408.png,Покемон рок-типа
409.png,Покемон рок-типа
410.png,Покемон рок-типа и стали
411.png,Покемон рок-типа и стали
412.png,Покемон типа ошибок
413.png,Покемон типа ошибок и трава
414.png,Тип ошибки и Покемон
415.png,Тип ошибки и Покемон
416.png,Тип ошибки и Покемон
417.png,Покемон электрического типа
418.png,Покемон в воду
419.png,Покемон в воду
420.png,Покемон трава
421.png,Покемон трава
422.png,Покемон в воду
423.png,Покемон типа воды и наземного типа
424.png,Покемон нормального типа
425.png,Покемон типа призрака и летающий
426.png,Покемон типа призрака и летающий
427.png,Покемон нормального типа
428.png,Покемон нормального типа
429.png,Покемон призрака типа
430.png,Покемон темного типа и летания
431.png,Покемон нормального типа
432.png,Покемон нормального типа
433.png,Покемон психического типа
434.png,Покемон яда и темного типа
435.png,Покемон яда и темного типа
436.png,Покемон из стального и психического типа
437.png,Покемон из стального и психического типа
438.png,Покемон рок-типа
439.png,Психический тип и фея покемонов
440.png,Покемон нормального типа
441.png,Покемон нормального типа и летания
442.png,Покемон призрака и темного типа
443.png,Покемон дракона и типа земли
444.png,Покемон дракона и типа земли
445.png,Покемон дракона и типа земли
446.png,Покемон нормального типа
447.png,Покемон боевого типа
448.png,Покемон боевого типа и стали
449.png,Покемон наземного типа
450.png,Покемон наземного типа
451.png,Покемон яда и типа ошибок
452.png,Покемон яда и темного типа
453.png,Покемон ядовитого типа и боевой тип
454.png,Покемон ядовитого типа и боевой тип
455.png,Покемон трава
456.png,Покемон в воду
457.png,Покемон в воду
458.png,Покемон типа воды и летания
459.png,Покемон типа трава и ледяной
460.png,Покемон типа трава и ледяной
461.png,Темный тип и ледяной покемон
462.png,Покемон электрического типа и стали
463.png,Покемон нормального типа
464.png,Покемон наземного типа и покемона
465.png,Покемон трава
466.png,Покемон электрического типа
467.png,Покемон огня
468.png,Покемон фея и летающий тип
469.png,Тип ошибки и Покемон
470.png,Покемон трава
471.png,Покемон типа льда
472.png,Покемон наземного типа и летающий
473.png,Ледяной тип и покемон наземного типа
474.png,Покемон нормального типа
475.png,Психический тип и боевой тип покемонов
476.png,Покемон рок-типа и стали
477.png,Покемон призрака типа
478.png,Тип льда и покемонов призрака
479.png,Покемон электрического типа и призрак
480.png,Покемон психического типа
481.png,Покемон психического типа
482.png,Покемон психического типа
483.png,Покемон типа стали и дракона
484.png,Покемон типа воды и дракона
485.png,Покемон пожарного и стального типа
486.png,Покемон нормального типа
487.png,Покемон типа призрака и дракона
488.png,Покемон психического типа
489.png,Покемон в воду
490.png,Покемон в воду
491.png,Покемон темного типа
492.png,Покемон трава
493.png,Покемон нормального типа
494.png,Психический тип и покемон огня
495.png,Покемон трава
496.png,Покемон трава
497.png,Покемон трава
498.png,Покемон огня
499.png,Покемон пожарного и боевого типа
500.png,Покемон пожарного и боевого типа
501.png,Покемон в воду
502.png,Покемон в воду
503.png,Покемон в воду
504.png,Покемон нормального типа
505.png,Покемон нормального типа
506.png,Покемон нормального типа
507.png,Покемон нормального типа
508.png,Покемон нормального типа
509.png,Покемон темного типа
510.png,Покемон темного типа
511.png,Покемон трава
512.png,Покемон трава
513.png,Покемон огня
514.png,Покемон огня
515.png,Покемон в воду
516.png,Покемон в воду
517.png,Покемон психического типа
518.png,Покемон психического типа
519.png,Покемон нормального типа и летания
520.png,Покемон нормального типа и летания
521.png,Покемон нормального типа и летания
522.png,Покемон электрического типа
523.png,Покемон электрического типа
524.png,Покемон рок-типа
525.png,Покемон рок-типа
526.png,Покемон рок-типа
527.png,Покемон психического типа и летания
528.png,Покемон психического типа и летания
529.png,Покемон наземного типа
530.png,Покемон наземного типа и стали
531.png,Покемон нормального типа
532.png,Покемон боевого типа
533.png,Покемон боевого типа
534.png,Покемон боевого типа
535.png,Покемон в воду
536.png,Покемон типа воды и наземного типа
537.png,Покемон типа воды и наземного типа
538.png,Покемон боевого типа
539.png,Покемон боевого типа
540.png,Покемон типа ошибок и трава
541.png,Покемон типа ошибок и трава
542.png,Покемон типа ошибок и трава
543.png,Покемон типа ошибок и яда
544.png,Покемон типа ошибок и яда
545.png,Покемон типа ошибок и яда
546.png,Покемон трава и фея покемонов
547.png,Покемон трава и фея покемонов
548.png,Покемон трава
549.png,Покемон трава
550.png,Покемон в воду
551.png,Покемон наземного типа и темного типа
552.png,Покемон наземного типа и темного типа
553.png,Покемон наземного типа и темного типа
554.png,Покемон огня
555.png,Покемон огня
556.png,Покемон трава
557.png,Покемон типа ошибок и рок-тип
558.png,Покемон типа ошибок и рок-тип
559.png,Темный тип и боевой тип покемонов
560.png,Темный тип и боевой тип покемонов
561.png,Покемон психического типа и летания
562.png,Покемон призрака типа
563.png,Покемон призрака типа
564.png,Покемон типа воды и рок-типа
565.png,Покемон типа воды и рок-типа
566.png,Покемон рок-типа и летающий
567.png,Покемон рок-типа и летающий
568.png,Покемон яда
569.png,Покемон яда
570.png,Покемон темного типа
571.png,Покемон темного типа
572.png,Покемон нормального типа
573.png,Покемон нормального типа
574.png,Покемон психического типа
575.png,Покемон психического типа
576.png,Покемон психического типа
577.png,Покемон психического типа
578.png,Покемон психического типа
579.png,Покемон психического типа
580.png,Покемон типа воды и летания
581.png,Покемон типа воды и летания
582.png,Покемон типа льда
583.png,Покемон типа льда
584.png,Покемон типа льда
585.png,Покемон нормального типа и трава
586.png,Покемон нормального типа и трава
587.png,Покемон электрического типа и летающий
588.png,Покемон типа ошибок
589.png,Покемон типа ошибок и сталь типа
590.png,Покемон типа травы и яда
591.png,Покемон типа травы и яда
592.png,Покемон типа воды и призрак
593.png,Покемон типа воды и призрак
594.png,Покемон в воду
595.png,Тип ошибки и покемон электрического типа
596.png,Тип ошибки и покемон электрического типа
597.png,Покемон типа травы и стали
598.png,Покемон типа травы и стали
599.png,Покемон из стали типа
600.png,Покемон из стали типа
601.png,Покемон из стали типа
602.png,Покемон электрического типа
603.png,Покемон электрического типа
604.png,Покемон электрического типа
605.png,Покемон психического типа
606.png,Покемон психического типа
607.png,Тип призрака и Покемон огня
608.png,Тип призрака и Покемон огня
609.png,Тип призрака и Покемон огня
610.png,Покемон типа дракона
611.png,Покемон типа дракона
612.png,Покемон типа дракона
613.png,Покемон типа льда
614.png,Покемон типа льда
615.png,Покемон типа льда
616.png,Покемон типа ошибок
617.png,Покемон типа ошибок
618.png,Покемон наземного типа и электрический
619.png,Покемон боевого типа
620.png,Покемон боевого типа
621.png,Покемон типа дракона
622.png,Покемон наземного типа и призрак
623.png,Покемон наземного типа и призрак
624.png,Покемон темного типа и стали
625.png,Покемон темного типа и стали
626.png,Покемон нормального типа
627.png,Покемон нормального типа и летания
628.png,Покемон нормального типа и летания
629.png,Покемон темного типа и летания
630.png,Покемон темного типа и летания
631.png,Покемон огня
632.png,Покемон типа ошибок и сталь типа
633.png,Темный тип и покемон дракона
634.png,Темный тип и покемон дракона
635.png,Темный тип и покемон дракона
636.png,Тип ошибки и Покемон огня
637.png,Тип ошибки и Покемон огня
638.png,Покемон из стального и боевого типа
639.png,Покемон рок-тип и боевой
640.png,Трава и боевой тип покемонов
641.png,Покемон летающего типа
642.png,Покемон электрического типа и летающий
643.png,Покемон дракона и покемон
644.png,Покемон типа дракона и электрический тип
645.png,Покемон наземного типа и летающий
646.png,Покемон типа дракона и ледяной
647.png,Покемон типа воды и боевой тип
648.png,Покемон обычного типа и психического типа
649.png,Покемон типа ошибок и сталь типа
650.png,Покемон трава
651.png,Покемон трава
652.png,Трава и боевой тип покемонов
653.png,Покемон огня
654.png,Покемон огня
655.png,Покемон пожарного и психического типа
656.png,Покемон в воду
657.png,Покемон в воду
658.png,Покемон в водный и темный тип
659.png,Покемон нормального типа
660.png,Покемон нормального типа и наземного типа
661.png,Покемон нормального типа и летания
662.png,Покемон пожарного и летающего типа
663.png,Покемон пожарного и летающего типа
664.png,Покемон типа ошибок
665.png,Покемон типа ошибок
666.png,Тип ошибки и Покемон
667.png,Покемон пожарного и нормального типа
668.png,Покемон пожарного и нормального типа
669.png,Покемон фея
670.png,Покемон фея
671.png,Покемон фея
672.png,Покемон трава
673.png,Покемон трава
674.png,Покемон боевого типа
675.png,Покемон боевого типа и темного типа
676.png,Покемон нормального типа
677.png,Покемон психического типа
678.png,Покемон психического типа
679.png,Покемон стального типа и призрак
680.png,Покемон стального типа и призрак
681.png,Покемон стального типа и призрак
682.png,Покемон фея
683.png,Покемон фея
684.png,Покемон фея
685.png,Покемон фея
686.png,Темный тип и психический тип покемонов
687.png,Темный тип и психический тип покемонов
688.png,Покемон рок-типа и воды
689.png,Покемон рок-типа и воды
690.png,Покемон яда и типа воды
691.png,Покемон типа яда и типа дракона
692.png,Покемон в воду
693.png,Покемон в воду
694.png,Покемон электрического типа и нормальный тип
695.png,Покемон электрического типа и нормальный тип
696.png,Покемон рок-типа и дракона
697.png,Покемон рок-типа и дракона
698.png,Покемон рок-типа и ледяной
699.png,Покемон рок-типа и ледяной
700.png,Покемон фея
701.png,Покемон боевого типа и летающий
702.png,Покемон электрического типа и фея
703.png,Покемон рок-типа и фея
704.png,Покемон типа дракона
705.png,Покемон типа дракона
706.png,Покемон типа дракона
707.png,Покемон из стального типа и фея
708.png,Покемон призрака и типа травы
709.png,Покемон призрака и типа травы
710.png,Покемон призрака и типа травы
711.png,Покемон призрака и типа травы
712.png,Покемон типа льда
713.png,Покемон типа льда
714.png,Покемон типа летающего типа и дракона
715.png,Покемон типа летающего типа и дракона
716.png,Покемон фея
717.png,Покемон темного типа и летания
718.png,Покемон дракона и типа земли
719.png,Покемон рок-типа и фея
720.png,Психический тип и покемон призрака
721.png,Покемон пожарного типа и воды
722.png,Покемон типа трава и летающий
723.png,Покемон типа трава и летающий
724.png,Покемон типа трава и призрак
725.png,Покемон огня
726.png,Покемон огня
727.png,Покемон огня и темного типа
728.png,Покемон в воду
729.png,Покемон в воду
730.png,Покемон типа воды и фея
731.png,Покемон нормального типа и летания
732.png,Покемон нормального типа и летания
733.png,Покемон нормального типа и летания
734.png,Покемон нормального типа
735.png,Покемон нормального типа
736.png,Покемон типа ошибок
737.png,Тип ошибки и покемон электрического типа
738.png,Тип ошибки и покемон электрического типа
739.png,Покемон боевого типа
740.png,Боевой тип и покемон типа льда
741.png,Покемон пожарного и летающего типа
742.png,Тип ошибки и покемон Faiy типа
743.png,Тип ошибки и покемон Faiy типа
744.png,Покемон рок-типа
745.png,Покемон рок-типа
746.png,Покемон в воду
747.png,Покемон яда и типа воды
748.png,Покемон яда и типа воды
749.png,Покемон наземного типа
750.png,Покемон наземного типа
751.png,Покемон типа воды и типа
752.png,Покемон типа воды и типа
753.png,Покемон трава
754.png,Покемон трава
755.png,Покемон трава и фея покемонов
756.png,Покемон трава и фея покемонов
757.png,Покемон яда и пожарного типа
758.png,Покемон яда и пожарного типа
759.png,Нормальный тип и боевой тип покемонов
760.png,Нормальный тип и боевой тип покемонов
761.png,Покемон трава
762.png,Покемон трава
763.png,Покемон трава
764.png,Покемон фея
765.png,Покемон обычного типа и психического типа
766.png,Покемон боевого типа
767.png,Покемон типа ошибок и типа воды
768.png,Покемон типа ошибок и типа воды
769.png,Покемон призрака и типа земли
770.png,Покемон призрака и типа земли
771.png,Покемон в воду
772.png,Покемон нормального типа
773.png,Покемон нормального типа
774.png,Покемон рок-типа и летающий
775.png,Покемон нормального типа
776.png,Покемон огненного типа и дракона
777.png,Покемон электрического типа и стали
778.png,Покемон призрака и фея
779.png,Покемон типа воды и психического типа
780.png,Покемон обычного типа и дракона
781.png,Покемон призрака и типа травы
782.png,Покемон типа дракона
783.png,Покемон типа дракона и боевой
784.png,Покемон типа дракона и боевой
785.png,Покемон электрического типа и фея
786.png,Психический тип и фея покемонов
787.png,Покемон трава и фея покемонов
788.png,Покемон типа воды и фея
789.png,Покемон психического типа
790.png,Покемон психического типа
791.png,Покемон психического типа и стали
792.png,Психический тип и покемон призрака
793.png,Покемон рок-типа и яда
794.png,Покемон типа ошибок и боевой тип
795.png,Покемон типа ошибок и боевой тип
796.png,Покемон электрического типа
797.png,Покемон из стали и летающего типа
798.png,Покемон типа травы и стали
799.png,Темный тип и покемон дракона
800.png,Покемон психического типа
801.png,Покемон из стального типа и фея
802.png,Покемон боевого типа и призрак
803.png,Покемон яда
804.png,Покемон типа яда и типа дракона
805.png,Покемон рок-типа и стали
806.png,Покемон пожарного типа и призрак
807.png,Покемон электрического типа
808.png,Покемон из стали типа
809.png,Покемон из стали типа
810.png,Покемон трава
811.png,Покемон трава
812.png,Покемон трава
813.png,Покемон огня
814.png,Покемон огня
815.png,Покемон огня
816.png,Покемон в воду
817.png,Покемон в воду
818.png,Покемон в воду
819.png,Покемон нормального типа
820.png,Покемон нормального типа
821.png,Покемон летающего типа
822.png,Покемон летающего типа
823.png,Покемон летающего типа и стали
824.png,Покемон типа ошибок
825.png,Тип ошибки и Psiquic-Type Pokémon
826.png,Тип ошибки и Psiquic-Type Pokémon
827.png,Покемон темного типа
828.png,Покемон темного типа
829.png,Покемон трава
830.png,Покемон трава
831.png,Покемон нормального типа
832.png,Покемон нормального типа
833.png,Покемон в воду
834.png,Покемон типа воды и рок-типа
835.png,Покемон электрического типа
836.png,Покемон электрического типа
837.png,Покемон рок-типа
838.png,Покемон рок-тип и пожарный
839.png,Покемон рок-тип и пожарный
840.png,Покемон типа трава и дракона
841.png,Покемон типа трава и дракона
842.png,Покемон типа трава и дракона
843.png,Покемон наземного типа
844.png,Покемон наземного типа
845.png,Покемон типа летающего типа и воды
846.png,Покемон в воду
847.png,Покемон в воду
848.png,Покемон электрического типа и ядов
849.png,Покемон электрического типа и ядов
850.png,Покемон пожарного и типа ошибок
851.png,Покемон пожарного и типа ошибок
852.png,Покемон боевого типа
853.png,Покемон боевого типа
854.png,Покемон призрака типа
855.png,Покемон призрака типа
856.png,Покемон психического типа
857.png,Покемон психического типа
858.png,Психический тип и фея покемонов
859.png,Темный тип и сказочный покемон
860.png,Темный тип и сказочный покемон
861.png,Темный тип и сказочный покемон
862.png,Темный тип и покемон нормального типа
863.png,Покемон из стали типа
864.png,Покемон призрака типа
865.png,Покемон боевого типа
866.png,Ледяной и психический тип покемонов
867.png,Покемон наземного типа и призрак
868.png,Покемон фея
869.png,Покемон фея
870.png,Покемон боевого типа
871.png,Покемон электрического типа
872.png,Покемон типа льда и типа
873.png,Покемон типа льда и типа
874.png,Покемон рок-типа
875.png,Покемон типа льда
876.png,Покемон психического типа и нормальный тип
877.png,Покемон электрического типа и темного типа
878.png,Покемон из стали типа
879.png,Покемон из стали типа
880.png,Покемон электрического типа и дракона
881.png,Покемон электрического типа и ледяной
882.png,Покемон типа воды и дракона
883.png,Покемон типа воды и ледяной
884.png,Покемон типа стали и дракона
885.png,Покемон типа дракона и типа призрак
886.png,Покемон типа дракона и типа призрак
887.png,Покемон типа дракона и типа призрак
888.png,Покемон фея
889.png,Покемон боевого типа
890.png,Покемон типа яда и типа дракона
891.png,Покемон боевого типа
892.png,Покемон боевого типа и темного типа
893.png,Темный тип и покемон травы
894.png,Покемон электрического типа
895.png,Покемон типа дракона
896.png,Покемон типа льда
897.png,Покемон призрака типа
898.png,Психический тип и покемон травы
10001.png,Покемон психического типа
10002.png,Покемон психического типа
10003.png,Покемон психического типа
10004.png,Тип ошибки и покемон наземного типа
10005.png,Покемон типа ошибок и сталь типа
10006.png,Покемон типа трава и летающий
10007.png,Покемон типа призрака и дракона
10008.png,Покемон электрический и пожарный
10009.png,Покемон в виде электрического типа и воды
10010.png,Покемон электрического типа и ледяной
10011.png,Покемон электрического типа и летающий
